Ticker,Date,article_count,neutral_count,positive_count,negative_count,neutral_avg,positive_avg,negative_avg,acquisition_avg,earnings_avg,production_avg,exploration_avg,green_energy_avg,Returns,Returns (no NaN),Returns Next Day,Returns Next Day(no NaN),Neu Ratio,Pos Ratio,Neg Ratio
PSX,2024-03-30,1,0,0,1,0.13597745727747676,0.4117334671318531,0.45228908816352487,0.8081885352730751,0.37906601279973984,0.32998329401016235,0.1844923440366983,0.1106414161622524,,-0.011753886668096847,-0.011753886668096847,-0.011753886668096847,0.0,0.0,1.0
PSX,2024-04-04,1,0,1,0,0.32305451855063433,0.6333579123020172,0.04358755797147745,0.5212680995464325,0.26490025222301483,0.1561137959361076,0.0990691110491752,0.0559500814415514,-0.011753886668096847,-0.011753886668096847,0.0004101829540328339,0.0004101829540328339,0.0,1.0,0.0
PSX,2024-04-05,1,1,0,0,0.49547164142131805,0.45725469291210175,0.0472737085074186,0.632353201508522,0.38050076365470886,0.1801313757896423,0.1294009354896843,0.1119958343915641,0.0004101829540328339,0.0004101829540328339,,0.0008584430376674668,1.0,0.0,0.0
PSX,2024-04-06,1,0,0,1,0.13695614831522104,0.4127239838708192,0.45031987875699997,0.8145055621862411,0.3870073929429054,0.31624266877770424,0.17986190319061274,0.11830591131001711,,0.0008584430376674668,,0.0008584430376674668,0.0,0.0,1.0
PSX,2024-04-13,1,0,0,1,0.15484347101300952,0.3927012011408806,0.4524553152732551,0.8165600895881653,0.3913571387529373,0.30254324153065676,0.16411488875746721,0.117079677991569,,0.0008584430376674668,,0.0008584430376674668,0.0,0.0,1.0
PSX,2024-04-20,1,0,0,1,0.1364120976068079,0.4127459896262735,0.45084192603826523,0.8093909621238708,0.3882599882781505,0.31366053968667984,0.1776375453919172,0.11379509884864088,,0.0008584430376674668,,0.0008584430376674668,0.0,0.0,1.0
PSX,2024-04-27,1,0,0,1,0.18070585187524552,0.36395201599225396,0.45534209394827485,0.8076319172978401,0.40379475802183146,0.340489748865366,0.1874032653868198,0.1414310168474912,,0.0008584430376674668,0.0008584430376674668,0.0008584430376674668,0.0,0.0,1.0
PSX,2024-04-29,1,0,0,1,0.06629812469085053,0.42520078147451074,0.5085010776917139,0.921245257059733,0.45429642995198566,0.4167685806751251,0.33105476200580597,0.2579131821791331,0.0008584430376674668,0.0008584430376674668,,-0.0015853925502982147,0.0,0.0,1.0
PSX,2024-05-04,1,0,1,0,0.05828824266791336,0.4798335668941338,0.4618781606356303,0.948051651318868,0.5642964641253153,0.41649343570073444,0.39202140271663666,0.31645391881465906,,-0.0015853925502982147,-0.0015853925502982147,-0.0015853925502982147,0.0,1.0,0.0
PSX,2024-05-14,1,0,1,0,0.045254665892571176,0.5079873604699969,0.44675799971446395,0.7777464538812637,0.36392122879624367,0.28792160749435425,0.14237597770988936,0.08760956861078732,-0.0015853925502982147,-0.0015853925502982147,,-0.0015853925502982147,0.0,1.0,0.0
